nom_q_1102,nom_q_1111,serv_SbjNum,nom_q_1110,nom_q_3222code,ord_T_q_9101a_3,ord_T_q_9101a_4,ord_T_q_9101a_5,ord_T_q_9101a_7,ord_T_q_9101a_8,ord_T_q_9101b_1,ord_T_q_9101b_2,ord_T_q_9101b_3,ord_T_q_9101b_4,ord_T_q_9101b_6,ord_T_q_9101b_7,ord_T_q_9101c_1,ord_T_q_9101c_2,ord_T_q_9101c_4,ord_T_q_9101c_6,ord_T_q_9101c_7,ord_T_q_9101c_8,ord_T_q_9101c_9,ord_T_q_9101d_2,ord_T_q_9101d_3,ord_T_q_9101d_4,ord_T_q_9101d_6,ord_T_q_9101d_7,ord_T_q_9101d_8,ord_T_q_9101d_9,ord_T_q_9101e_1,ord_T_q_9101e_2,ord_T_q_9101e_4,ord_T_q_9101e_7,ord_T_q_9101e_8,ord_T_q_9101f_2,nom_q_9103b,nom_q_9103c,nom_q_9103d,nom_q_9103e,nom_q_9103f,nom_q_9103g,nom_q_9103h,nom_q_9103i,nom_q_9103j,nom_q_9103k,nom_q_9103l,nom_q_9103m,nom_q_9103n,nom_q_9103o,nom_q_9103p,nom_q_9103q,nom_q_9103r,nom_q_9103s,ord_q_9301,nom_q_9303,nom_q_9305,nom_q_9306,nom_q_9308
Women,Subordination of the center,166217250,Village,3,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,Neutral,Neutral,It's a little weird,Neutral,Neutral,Neutral,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,Neutral,Neutral,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Art,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Working as an employee or assistant in a NON-agricultural business / m,"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166574506,City,3,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,Absolutely like,It's a little weird,Neutral,Neutral,It's a little weird,It's a little weird,It's a little weird,Absolutely like,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Absolutely like,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Unemployed (ready to work and looking for work),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Dushanbe,166281683,City,3,It's a little weird,It's a little weird,Neutral,Not at all,Not at all,Neutral,Neutral,Neutral,It's a little weird,Not at all,It's a little weird,Neutral,Neutral,Absolutely like,It's a little weird,Neutral,It's a little weird,It's a little weird,Not at all,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Absolutely like,It's a little weird,Neutral,It's a little weird,A little disliked,Neutral,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Working as an employee or assistant in a NON-agricultural business / m,"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Dushanbe,166796136,Village,3,It's a little weird,Neutral,It's a little weird,A little disliked,A little disliked,Neutral,Neutral,A little disliked,Absolutely like,A little disliked,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,A little disliked,It's a little weird,Absolutely like,A little disliked,Neutral,It's a little weird,Absolutely like,It's a little weird,Neutral,A little disliked,It's a little weird,It's a little weird,Neutral,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),General primary education (grades 1-4)
Man,Subordination of the center,165760932,Village,3,Absolutely like,It's a little weird,Absolutely like,Not at all,Not at all,Not at all,Not at all,A little disliked,Neutral,Neutral,A little disliked,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,Neutral,A little disliked,Neutral,Neutral,Neutral,Neutral,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,Electronics,Botany,Advice on work,Company management,Doktor,Music,Physics,Education,Law,Child care,Landscaping,Mechanic,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We had enough money for food and clothes, but to buy a refrigerator",Unemployed (ready to work and looking for work),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Dushanbe,166080420,City,3,Neutral,It's a little weird,Neutral,A little disliked,A little disliked,It's a little weird,It's a little weird,Neutral,Neutral,A little disliked,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,Neutral,Neutral,It's a little weird,A little disliked,Neutral,It's a little weird,Neutral,Neutral,A little disliked,It's a little weird,Neutral,Neutral,A little disliked,A little disliked,Neutral,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Unemployed (ready to work and looking for work),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166043854,City,3,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,"Playing in a group, being a member of a music team",Mechanic,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Unemployed (ready to work and looking for work),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,165746012,City,3,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Neutral,It's a little weird,A little disliked,It's a little weird,A little disliked,It's a little weird,Electronics,Photography,Owning a store,Helping families in need,Physical training,Working with wood,Economic sciences,Art,Law,Child care,Landscaping,Mechanic,Picture description,Forest,Economist,Accounting,Builder,Helping patients in the hospital,"We had enough money for food and clothes, but to buy a refrigerator",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Incomplete general secondary education (grades 5-9)
Women,Dushanbe,166043856,City,3,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,Neutral,Neutral,It's a little weird,Neutral,Electronics,Botany,Advice on work,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166281678,City,3,Absolutely like,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Absolutely like,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Absolutely like,Absolutely like,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Absolutely like,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Unemployed (ready to work and looking for work),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Subordination of the center,166179702,Village,3,It's a little weird,It's a little weird,Absolutely like,Absolutely like,Absolutely like,It's a little weird,It's a little weird,Neutral,Neutral,A little disliked,Neutral,Neutral,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,A little disliked,Neutral,It's a little weird,Neutral,Neutral,Neutral,Absolutely like,It's a little weird,Neutral,Neutral,Neutral,It's a little weird,Neutral,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Picture description,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Working as an employee or assistant in a NON-agricultural business / m,"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166325384,City,3,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Absolutely like,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Unemployed (ready to work and looking for work),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Dushanbe,166367908,City,4,Neutral,It's a little weird,Neutral,A little disliked,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,A little disliked,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,Neutral,A little disliked,A little disliked,Neutral,It's a little weird,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Unemployed (ready to work and looking for work),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166449893,City,4,It's a little weird,Absolutely like,It's a little weird,Absolutely like,It's a little weird,Neutral,Neutral,It's a little weird,Absolutely like,It's a little weird,Absolutely like,Neutral,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Absolutely like,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Doing housework (including caring for children),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166449897,City,4,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Travel agent,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,165749913,City,4,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,Absolutely like,Neutral,It's a little weird,Neutral,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,Absolutely like,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,Chemistry,Botany,Owning a store,Company management,Doktor,Working with wood,Physics,Education,Law,Stand electronics,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Builder,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Working as an employee or assistant in a NON-agricultural business / m,Complete general secondary education (Grades 10-11),Retired,Incomplete general secondary education (grades 5-9)
Man,Dushanbe,166531235,City,4,Absolutely like,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,Absolutely like,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,Absolutely like,Absolutely like,Neutral,Absolutely like,It's a little weird,Absolutely like,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Travel agent,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Doing housework (including caring for children),Complete general secondary education (Grades 10-11),Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
Man,Dushanbe,166904944,City,4,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,Neutral,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,Absolutely like,It's a little weird,Neutral,Neutral,Absolutely like,It's a little weird,Absolutely like,Absolutely like,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Absolutely like,Neutral,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166021005,City,4,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Mechanic,Work in the office,The nurse of mercy,Economist,Geology,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Unemployed (ready to work and looking for work),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166369217,City,4,Neutral,It's a little weird,Neutral,Neutral,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,Absolutely like,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Child care,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Unemployed (ready to work and looking for work),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
Women,Dushanbe,166325385,City,4,Neutral,Neutral,Neutral,Not at all,Not at all,It's a little weird,It's a little weird,Neutral,It's a little weird,Not at all,It's a little weird,Neutral,It's a little weird,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,Not at all,Neutral,It's a little weird,Neutral,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,Not at all,Not at all,Neutral,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166904943,City,4,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Neutral,Neutral,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,Neutral,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Absolutely like,Neutral,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Working as an employee or assistant in a NON-agricultural business / m,"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Dushanbe,166080424,City,4,Neutral,It's a little weird,It's a little weird,A little disliked,A little disliked,It's a little weird,It's a little weird,It's a little weird,Neutral,A little disliked,A little disliked,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,Chemistry,Photography,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Artist / Folk Crafts,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Builder,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Unemployed (ready to work and looking for work),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166325379,City,4,Neutral,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,Absolutely like,It's a little weird,Neutral,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,Absolutely like,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Physics,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house","Work as an employee or assistant on a farm (farm, h",Primary vocational education (VET) or secondary vocational education (technical school),Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Subordination of the center,166752763,Village,4,It's a little weird,Absolutely like,Absolutely like,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,Absolutely like,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,Neutral,It's a little weird,It's a little weird,Absolutely like,It's a little weird,Absolutely like,It's a little weird,Absolutely like,Neutral,It's a little weird,Neutral,Absolutely like,It's a little weird,Neutral,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Subordination of the center,166470016,Village,4,It's a little weird,Absolutely like,Neutral,Absolutely like,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Absolutely like,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Chemistry,Photography,Advice on work,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Unemployed (ready to work and looking for work),Primary vocational education (VET) or secondary vocational education (technical school),Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166043855,City,4,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Absolutely like,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,"Playing in a group, being a member of a music team",Mechanic,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Doing housework (including caring for children),Complete general secondary education (Grades 10-11),Unemployed (ready to work and looking for work),Full secondary education (grades 10-11)
Man,Dushanbe,165841910,City,4,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,A little disliked,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,Absolutely like,Absolutely like,Neutral,Absolutely like,It's a little weird,It's a little weird,Neutral,Neutral,Neutral,Absolutely like,Absolutely like,Electronics,Photography,Owning a store,Company management,Doktor,Working with wood,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Entrepreneur / employee with self-account / private entrepreneur / employer (yes),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166531233,City,4,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,Absolutely like,Absolutely like,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,Absolutely like,Absolutely like,It's a little weird,Absolutely like,It's a little weird,Neutral,Neutral,It's a little weird,It's a little weird,Neutral,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Doing housework (including caring for children),Primary vocational education (VET) or secondary vocational education (technical school),Doing housework (including caring for children),Incomplete general secondary education (grades 5-9)
Man,Dushanbe,166367909,City,4,Neutral,It's a little weird,Neutral,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,Neutral,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Unemployed (ready to work and looking for work),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166325380,City,4,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,Absolutely like,Absolutely like,It's a little weird,Absolutely like,It's a little weird,Neutral,Absolutely like,Absolutely like,It's a little weird,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Physics,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Unemployed (ready to work and looking for work),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Dushanbe,166281682,City,4,It's a little weird,It's a little weird,Absolutely like,A little disliked,A little disliked,It's a little weird,It's a little weird,Neutral,It's a little weird,Not at all,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,Neutral,It's a little weird,Not at all,It's a little weird,Absolutely like,Neutral,It's a little weird,Absolutely like,Absolutely like,It's a little weird,It's a little weird,Neutral,A little disliked,Neutral,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
